"","size","decay","maxit","auc"
"1",1,0.1,100,0.664711412548492
"2",2,0.1,100,0.658479701451369
"3",3,0.1,100,0.663859352789608
"4",4,0.1,100,0.645212352681735
"5",5,0.1,100,0.63782954162189
"6",1,0.2,100,0.663354807788154
"7",2,0.2,100,0.661755147519673
"8",3,0.2,100,0.655121643819904
"9",4,0.2,100,0.647483487928471
"10",5,0.2,100,0.639475628223387
"11",1,0.3,100,0.672251253852362
"12",2,0.3,100,0.643408894466118
"13",3,0.3,100,0.650635016652033
"14",4,0.3,100,0.661685166650053
"15",5,0.3,100,0.648729488777799
"16",1,0.4,100,0.605100342325932
"17",2,0.4,100,0.671365739824099
"18",3,0.4,100,0.662029609076621
"19",4,0.4,100,0.635797365442149
"20",5,0.4,100,0.654700051751707
"21",1,0.5,100,0.66390851008339
"22",2,0.5,100,0.637301100713737
"23",3,0.5,100,0.649326203705094
"24",4,0.5,100,0.659533510936815
"25",5,0.5,100,0.659880342954053
"26",1,0.1,200,0.667457734968451
"27",2,0.1,200,0.662324894209407
"28",3,0.1,200,0.68015772663902
"29",4,0.1,200,0.642228095305069
"30",5,0.1,200,0.657398582358267
"31",1,0.2,200,0.66650053322009
"32",2,0.2,200,0.666694090064355
"33",3,0.2,200,0.676714667853724
"34",4,0.2,200,0.650373527158722
"35",5,0.2,200,0.668889099779748
"36",1,0.3,200,0.667134798857912
"37",2,0.3,200,0.649617051026636
"38",3,0.3,200,0.635344708695243
"39",4,0.3,200,0.660858368278252
"40",5,0.3,200,0.660323099968184
"41",1,0.4,200,0.6662690842952
"42",2,0.4,200,0.671734760897558
"43",3,0.4,200,0.667909026234975
"44",4,0.4,200,0.659579595899735
"45",5,0.4,200,0.68971711342909
"46",1,0.5,200,0.666108981720314
"47",2,0.5,200,0.654955737953391
"48",3,0.5,200,0.65434434411198
"49",4,0.5,200,0.675075408654142
"50",5,0.5,200,0.675767024468043
"51",1,0.1,300,0.667799105064157
"52",2,0.1,300,0.650731283019022
"53",3,0.1,300,0.664363556420967
"54",4,0.1,300,0.654233740200971
"55",5,0.1,300,0.666588948074877
"56",1,0.2,300,0.6674696829218
"57",2,0.2,300,0.665693192943744
"58",3,0.2,300,0.638949235535808
"59",4,0.2,300,0.678698369479875
"60",5,0.2,300,0.656157360690278
"61",1,0.3,300,0.666958310518432
"62",2,0.3,300,0.660837203332318
"63",3,0.3,300,0.666855558119624
"64",4,0.3,300,0.657669630214258
"65",5,0.3,300,0.655546649589059
"66",1,0.4,300,0.666387198348315
"67",2,0.4,300,0.521610092538606
"68",3,0.4,300,0.682326450857044
"69",4,0.4,300,0.684281136025059
"70",5,0.4,300,0.671142483781507
"71",1,0.5,300,0.664618559882459
"72",2,0.5,300,0.663929675029324
"73",3,0.5,300,0.670791896693216
"74",4,0.5,300,0.663997266308274
"75",5,0.5,300,0.676835171497509
"76",1,0.1,400,0.668150716262735
"77",2,0.1,400,0.66954965091494
"78",3,0.1,400,0.652831050477713
"79",4,0.1,400,0.643498674801289
"80",5,0.1,400,0.667910733085453
"81",1,0.2,400,0.667466951961035
"82",2,0.2,400,0.672092175387762
"83",3,0.2,400,0.662674115817315
"84",4,0.2,400,0.666608406170333
"85",5,0.2,400,0.67453092335149
"86",1,0.3,400,0.666951141746422
"87",2,0.3,400,0.660842323883754
"88",3,0.3,400,0.669767445036001
"89",4,0.3,400,0.67301387464617
"90",5,0.3,400,0.663271513484802
"91",1,0.4,400,0.666562662577508
"92",2,0.4,400,0.676432013414479
"93",3,0.4,400,0.64581384679037
"94",4,0.4,400,0.679037008614816
"95",5,0.4,400,0.65609591407305
"96",1,0.5,400,0.6662134409696
"97",2,0.5,400,0.672144746382501
"98",3,0.5,400,0.669914234177155
"99",4,0.5,400,0.663171150676664
"100",5,0.5,400,0.678461458633455
"101",1,0.1,500,0.667652657293099
"102",2,0.1,500,0.670319781850854
"103",3,0.1,500,0.657297536809937
"104",4,0.1,500,0.641995963639988
"105",5,0.1,500,0.645746596881516
"106",1,0.2,500,0.510071783303725
"107",2,0.2,500,0.518931020027501
"108",3,0.2,500,0.667071304020111
"109",4,0.2,500,0.632063117965216
"110",5,0.2,500,0.684347703193722
"111",1,0.3,500,0.666957286408145
"112",2,0.3,500,0.662427646608215
"113",3,0.3,500,0.693655500223256
"114",4,0.3,500,0.670565226949667
"115",5,0.3,500,0.659957151225587
"116",1,0.4,500,0.665285255679374
"117",2,0.4,500,0.678648870815997
"118",3,0.4,500,0.66265465772186
"119",4,0.4,500,0.670679927301824
"120",5,0.4,500,0.662588773293388
"121",1,0.5,500,0.666208320418165
"122",2,0.5,500,0.674520682248618
"123",3,0.5,500,0.668411523015855
"124",4,0.5,500,0.675339629108218
"125",5,0.5,500,0.658664382673146
